tweet,business,entertainment,health,politics
Uber Is Under Investigation By the Justice Department,1,0,0,0
Let Your Employees Make Big Decisions,1,0,0,0
CEO's/Managers: What wellness activity did work out for you to increase your employees performance?,1,0,0,0
American Apparel Will Put Made-in-the-USA Advocates to the Test,1,0,0,0
Hi! I have a question about trademarks/patents for internet/app businesses,1,0,0,0
A tale of intelligent markets: You get what you pay for,1,0,0,0
"About how long can you expect a medium size gym take to cover expenses and start making a profit after opening? Also, are most small business loans setup to give you time to make a profit before you have to make payments? Thanks for any help, I'm have to write a business plan for class.",1,0,0,0
HSBC spends more on fighting financial crime as profits fall by 19%,1,0,0,0
Watch: Family with two young children booted off of Delta flight for the dumbest of reasons,1,0,0,0
Fox News hit with another gender discrimination lawsuit,1,0,0,0
New York City bans employers from requesting salary history,1,0,0,0
"JP Morgan &amp; Chase to move to approx. 500 jobs to Dublin from London - Morgan Stanley, Goldman Sachs, and Barclays are also considering Ireland as country for relocation from London.",1,0,0,0
"As Trump Promotes Manufacturing, It’s Tech Jobs That Offer the Best Opportunity",1,0,0,0
Is China the World's New Colonial Power?,1,0,0,0
"5 Big Data Examples In Your Real Life At Bars, Restaurants, and Casinos",1,0,0,0
Oil prices fall amid fears for the global outlook,1,0,0,0
Apple launches new website touting contributions to United States economy,1,0,0,0
"The Gender Pay Gap: Misconstructed, Misunderstood, and Very Real — ""it is when saying that women earn paid 77 percent of what a man earns for the same work that this number becomes exceedingly controversial — because it is simply not true.""",1,0,0,0
Is this a sustainable business plan?,1,0,0,0
"SEC Approves 4x Leveraged ETFs, Dubbed ‘Market Crack’",1,0,0,0
Tesla plugs older Model S as new buyers turn to Model 3,1,0,0,0
"Subway, Ruby Tuesday embrace reform for chickens raised for meat",1,0,0,0
What does marketing fingerprinting mean?,1,0,0,0
Office Perks Are Dumb,1,0,0,0
I will make you a e-commerce website with Shopify for free!,1,0,0,0
Mastering the digital advantage in transforming customer experience,1,0,0,0
"Some Cling to landlines, but cell-only homes now dominate",1,0,0,0
The Fiscal Conservative Argument For Universal Healthcare,1,0,0,0
Alternative fuel vehicles on the rise in Europe,1,0,0,0
Marketing Tent Rental Company Help,1,0,0,0
Can Wal-Mart’s Expensive New E-Commerce Operation Compete With Amazon?,1,0,0,0
Viacom beats estimates but faces distribution headwinds,1,0,0,0
U.S. labor market tightening; productivity weakens in first quarter,1,0,0,0
Apple Misses Revenue Estimates But Remains Optimistic,1,0,0,0
"After Meeting with Trump, Apple CEO to Invest 1 Billion into Manufacturing",1,0,0,0
The Online Marketplace That’s a Portal to the Future of Capitalism,1,0,0,0
A Look Inside Airbus's Epic Assembly Line,1,0,0,0
Renegotiating a Lease w/ billion dollar company,1,0,0,0
"Defer College, A Good Trend for All",1,0,0,0
Warren Buffett's wish List,1,0,0,0
Nokian Tyres to build factory in US,1,0,0,0
Why J. Crew’s Vision of Preppy America Failed - The New Yorker,1,0,0,0
JPMorgan to Move Hundreds of Staff to Three EU Offices on Brexit,1,0,0,0
Starbucks expands rewards program at grocery stores,1,0,0,0
"Kraft Heinz to cut jobs, shutter factories under integration plan",1,0,0,0
5 Ways To Acquire New Customers,1,0,0,0
Doing a new startup...some advice?,1,0,0,0
Business school questions.,1,0,0,0
Facebook - Facebook Reports First Quarter 2017 Results,1,0,0,0
"Facebook Inc (FB) Smashes Earnings, Revenue Estimates in a good agreement with this bullish $FB forecast issued a week ago",1,0,0,0
Apple Buys More Company Debt Than World's Biggest Bond Funds,1,0,0,0
"Herbalife CEO talks about obesity, vindication at Milken Conference",1,0,0,0
"Big Beer Is Back as European Economy Boosts AB InBev, Carlsberg",1,0,0,0
"U.S. Auto Boom Seems to Be History, Just as Trump Counted on Jobs",1,0,0,0
April 2017 Stock Market Contest Results: The Winner is ehs4290 with short GBT pick and 21.44% return in 1 month!,1,0,0,0
Apple’s supplier battles intensify as Imagination Technologies files formal dispute,1,0,0,0
GM will rent the Chevy Bolt to Uber and Lyft drivers,1,0,0,0
7 USEFUL TIPS TO INCREASE YOUR CHANCES OF BEING SUCCESSFUL AT STARTING YOUR OWN BUSINESS.,1,0,0,0
What Is Washington Doing to Our 401(k) Tax Break?,1,0,0,0
How our obsession with being busy is wrecking women's lives,1,0,0,0
Looking for Best Non Stick Pan?,1,0,0,0
"U.S. Auto Boom Seems to Be History, Just as Trump Counted on Jobs",1,0,0,0
"United CEO, airline execs face latest group of unhappy customers: Congress",1,0,0,0
What is the most efficient way of driving traffic to an online store?,1,0,0,0
Stop Using Infosys As A Scapegoat For America's H1B Visa Abuses,1,0,0,0
Any thoughts on BNI?,1,0,0,0
"Interview with Gish Jen, Author of The Girl at the Baggage Claim",1,0,0,0
New York Times Co. Reports Rising Digital Profit as Print Advertising Falls,1,0,0,0
Remember that airline worker who almost hit a baby? Here's what really happened.,1,0,0,0
"Business wins, 'clobbered' Philippines environment chief says after ouster",1,0,0,0
"Major Beef Supplier, Cargill, Sold Off Their Last U.S. Feedlots to Invest in Plant-Based Proteins",1,0,0,0
Google and Facebook are driving nearly all growth in the global ad market,1,0,0,0
Facebook closing in on 2 billion users,1,0,0,0
"What is Going On At Fox News, And Could It Affect Sky Bid? The Murdoch's Attempt To Increase Media Control In The UK",1,0,0,0
Apple's dilemma: what to do with $256 bn cash pile,1,0,0,0
"How Suze Orman SCAMMED the World. How many con artists are allowed to blast through the media landscape, telling blatantly false lies and getting some of the top journalists and media figures in the U.S to knowingly or unknowingly con and steal from the public on their behalf?",1,0,0,0
AMD is down by 25% since this AI-based 1 month forecast but it is bullish on AMD in the long,1,0,0,0
"Groupon shares drop on Q1 revenue miss, shutters businesses in 11 more markets",1,0,0,0
No Fed rate hike; but officials see more ahead,1,0,0,0
Etsy Targeted by Black-and-White for Review Including a Sale,1,0,0,0
Apple posts Q2 earnings: Revenue of $52.9 billion as iPhone sales slide yet again,1,0,0,0
"Infosys, an Indian Outsourcing Company, Says It Will Create 10,000 U.S. Jobs",1,0,0,0
How to price products made by automation,1,0,0,0
Decoding Amazon's Fashion Ambitions,1,0,0,0
Who are Etsy's biggest Competitors?,1,0,0,0
Theranos settles “series of lies” lawsuits from investor that chipped in $96M,1,0,0,0
China clamps down on online news with new security rules,1,0,0,0
Double majoring in computer science and risk management?,1,0,0,0
Apple's iPhone sales in surprise fall - BBC News,1,0,0,0
Greg Morris - Questionable Practices. The Michael Jordan of trend following.,1,0,0,0
US Consumer Spending Stalls for Second Month,1,0,0,0
Retailers Scrambling To Adjust To Changing Consumer Habits,1,0,0,0
GOP congressman on Obamacare replacement: 'I don't think any individual has read the whole bill',1,0,0,0
Venezuela Is Heading for a Soviet-Style Collapse,1,0,0,0
Apple plans to spend $1 billion to support advanced manufacturing jobs in the U.S.,1,0,0,0
"Bitcoin soars to all-time high near $1,500",1,0,0,0
Why Germany Still Has So Many Middle-Class Manufacturing Jobs,1,0,0,0
This $2.5 million Palo Alto teardown shows how coastal housing policy has gone wrong,1,0,0,0
"The Missing ""One-Offs"": The hidden supply of high achieving, low income students",1,0,0,0
How the Affordable Care Act Drove Down Personal Bankruptcy: Expanded health insurance helped cut the number of filings by half,1,0,0,0
"China Wants Fish, So Africa Goes Hungry",1,0,0,0
Congress Passes Obamacare Repeal,1,0,0,0
"Kraft Heinz to cut 5,150 jobs, shutter factories under integration plan",1,0,0,0
Honduras: Automotive Spare Parts Business Grows 15%,1,0,0,0
Baumol Cost Disease Explained.,1,0,0,0
Most U.S. Homes Are Worth Less Than Before the Crash,1,0,0,0
EU eying rules that could move thousands of jobs from London,1,0,0,0
How Big is the Gap Between Renting and Buying a House in Your State?,1,0,0,0
India's Silicon Valley is dying of third. Your city may be next - Indians said they wanted to be the next global tech power. They don't have any water anymore.,1,0,0,0
"China Wants Fish, So Africa Goes Hungry - 90% of fisheries are now exploited or facing collapse. But for China, that's not enough. China commands a fleet of 2600 vessels, 10 times larger than the US fleet, and they are acting like thieves. American Corporations are helping them rob Africans",1,0,0,0
"Shake Shack Confirms Worst 'Minimum-Wage-Hike' Fears - ""It's Going Up Too Fast... We Can't Catch Our Breath""",1,0,0,0
President Trump agrees to end import ban on lemons from Argentina,1,0,0,0
U.S. fashion chain Express to shut all 17 stores in Canada,1,0,0,0
IMF:Taking Stock : Who Benefited from the Oil Price Shocks?(PDF),1,0,0,0
The House just passed a bill that affects overtime pay,1,0,0,0
Puerto Rico Files For Biggest Ever U.S. Local Government Bankruptcy,1,0,0,0
"For the Sake of the Economy, Don't Have a Baby Until You're Financially Ready - NinetyFund",1,0,0,0
The global economic costs from climate change may be worse than expected,1,0,0,0
Apple Announces $1 Billion Fund For U.S. Manufacturing Jobs – Is $230 Billion Repatriation Deal Next?,1,0,0,0
ECB: Flow effects of central bank asset purchases on euro area sovereign bond yields: evidence from a natural experiment (PDF),1,0,0,0
One Productivity Problem: We're Only Human,1,0,0,0
Skilled Trades Belong In Canada's Innovation Conversation,1,0,0,0
"Tesla's revenue more than doubles, helped by record deliveries",1,0,0,0
Why some experts want the US to adopt a VAT and other tax lessons from around the world,1,0,0,0
The science of inequality: why people prefer unequal societies,1,0,0,0
"As Trump reverses climate actions, California considers blending cap-and-trade with fee-and-dividend",1,0,0,0
Markets worry more about political turmoil than autocracy -- The response to Turkey’s referendum result is the latest example,1,0,0,0
Time for the next big gamble for Modi: Tax rich farmers,1,0,0,0
Puerto Rico requests bankruptcy protection for public debt,1,0,0,0
Catalonia region introduces “soda tax” on sugary drinks,1,0,0,0
"Urban Farmer leases people's yards to grow crops, makes good money",1,0,0,0
Puerto Rico Files for Historic $70 Billion Debt Restructuring,1,0,0,0
Union decline and rising inequality in two charts,1,0,0,0
US housing wealth is growing for the oldest and wealthiest Americans,1,0,0,0
"B.C. premier can't impose thermal coal tax, says Rachel Notley",1,0,0,0
They do not see value in their own companies!' — Corporate executives are selling stocks in droves,1,0,0,0
"Hey renters, these are the states that will save you the most money",1,0,0,0
Service Industries in U.S. Expand at Faster Pace Than Projected,1,0,0,0
Shifting Incomes for Young People: Education seems to matter more than 50 years ago,1,0,0,0
Millennials don’t switch jobs any more than Gen Xers did,1,0,0,0
Why jobs are going unfilled in a country with 18% unemployment,1,0,0,0
What happens when Home Capital Group fails? Will the housing bubble burst?,1,0,0,0
Japan pursues currency swaps with ASEAN members,1,0,0,0
"Consumption vs. GDP - USA has highest consumption, lower GDP per capita then Norway, Switzerland and Luxembourg.",1,0,0,0
United's stock price has now recovered.,1,0,0,0
"Home prices will not fully recover until 2025, and a new report explains why",1,0,0,0
San Francisco considers charging proportional fines based on income,1,0,0,0
A $59 billion investor just issued a dire warning about the retail apocalypse,1,0,0,0
California Squashes Its Young: The Golden State’s suffocating economic policies are driving out a new generation.,1,0,0,0
No Fed rate hike; but officials see more ahead,1,0,0,0
Destroying Gender Inequality In The Workplace,1,0,0,0
"The higher the inequality, the more likely we are to move away from democracy'",1,0,0,0
How would stagflation in the US impact the yield curve?,1,0,0,0
Atlanta Fed sees U.S. second quarter GDP growing at 4.3 percent,1,0,0,0
"Canadians spent $22.1B on alcohol last year, StatsCan says",1,0,0,0
"Finally, A Sensible Democrat On The Minimum Wage - Don't Raise It, Use The EITC Instead",1,0,0,0
German unemployment at historic lows,1,0,0,0
